"Plot Title: 10859610"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859610, SEN S/N: 10868969)","Water Content, m³/m³ (LGR S/N: 10859610, SEN S/N: 10879376)","Water Content, m³/m³ (LGR S/N: 10859610, SEN S/N: 10879378)"
163,04/18/17 04:00:01 AM,58.582,0.1519,0.1703
164,04/18/17 05:00:01 AM,58.541,0.1396,0.1703
165,04/18/17 06:00:01 AM,56.556,0.1370,0.1699
166,04/18/17 07:00:01 AM,52.729,0.1352,0.1709
167,04/18/17 08:00:01 AM,54.126,0.2928,0.1876
168,04/18/17 09:00:01 AM,56.122,0.3037,0.2029
169,04/18/17 10:00:01 AM,59.702,0.3066,0.2104
170,04/18/17 11:00:01 AM,79.831,0.2976,0.2117
171,04/18/17 12:00:01 PM,69.600,0.2970,0.2148
172,04/18/17 01:00:01 PM,67.199,0.2942,0.2161
173,04/18/17 02:00:01 PM,67.158,0.2895,0.2174
174,04/18/17 03:00:01 PM,76.811,0.2877,0.2177
175,04/18/17 04:00:01 PM,79.612,0.2881,0.2190
176,04/18/17 05:00:01 PM,74.381,0.2861,0.2190
177,04/18/17 06:00:01 PM,80.449,0.2844,0.2195
178,04/18/17 07:00:01 PM,62.791,0.2783,0.2203
179,04/18/17 08:00:01 PM,58.195,0.2729,0.2203
180,04/18/17 09:00:01 PM,58.239,0.2680,0.2198
181,04/18/17 10:00:01 PM,55.863,0.2657,0.2216
182,04/18/17 11:00:01 PM,55.429,0.2600,0.2216
183,04/19/17 12:00:01 AM,54.648,0.2571,0.2219
184,04/19/17 01:00:01 AM,49.737,0.2538,0.2224
185,04/19/17 02:00:01 AM,47.959,0.2498,0.2224
186,04/19/17 03:00:01 AM,50.223,0.2437,0.2224
187,04/19/17 04:00:01 AM,46.256,0.2421,0.2224
188,04/19/17 05:00:01 AM,49.249,0.2387,0.2224
189,04/19/17 06:00:01 AM,50.709,0.2383,0.2224
190,04/19/17 07:00:01 AM,50.974,0.2282,0.2229
191,04/19/17 08:00:01 AM,52.554,-0.2810,0.2229
192,04/19/17 09:00:01 AM,65.403,-0.1814,0.2224
193,04/19/17 10:00:01 AM,67.413,-0.0915,0.2232
194,04/19/17 11:00:01 AM,84.407,0.2257,0.2224
195,04/19/17 12:00:01 PM,91.402,0.2421,0.2237
196,04/19/17 01:00:01 PM,96.048,0.2421,0.2254
197,04/19/17 02:00:01 PM,101.257,0.2553,0.2274
198,04/19/17 03:00:01 PM,103.845,0.2635,0.2291
199,04/19/17 04:00:01 PM,101.559,0.3211,0.2303
200,04/19/17 05:00:01 PM,97.452,0.3211,0.2315
201,04/19/17 06:00:01 PM,88.167,0.3199,0.2323
202,04/19/17 07:00:01 PM,77.684,0.3178,0.2327
203,04/19/17 08:00:01 PM,59.702,0.3144,0.2335
204,04/19/17 09:00:01 PM,54.037,0.3118,0.2323
205,04/19/17 10:00:01 PM,55.515,0.3095,0.2306
206,04/19/17 11:00:01 PM,51.984,0.3077,0.2299
207,04/20/17 12:00:01 AM,49.870,0.3062,0.2291
208,04/20/17 01:00:01 AM,47.914,0.3048,0.2282
209,04/20/17 02:00:01 AM,47.736,0.3033,0.2274
210,04/20/17 03:00:01 AM,46.166,0.1881,0.2266
211,04/20/17 04:00:01 AM,43.853,0.1551,0.2257
212,04/20/17 05:00:01 AM,44.400,0.1416,0.2254
213,04/20/17 06:00:01 AM,42.847,0.0887,0.2245
